ID,Name,PubChem,CN,Smiles,Source
191,4-nonanol,22217,28,CCCCCC(CCC)O,FeatureCreature
192,octan-3-ol,,25.1,CCCCCC(O)CC,Saldana
193,"(6Z)-2,6,7-trimethyltridec-2,6-diene",,24,CCCCCC/C(=C(/C)\CCC=C(C)C)/C,Saldana
194,"2,6,7-trimethyl-2,6-tridecadiene",102247765,24,CCCCCC/C(=C(\C)/CCC=C(C)C)/C,FeatureCreature
195,methyl palmitoleate,643801,51,CCCCCC/C=C\CCCCCCCC(=O)OC,FeatureCreature
196,palmitoleyl alcohol,5367661,46,CCCCCC/C=C\CCCCCCCCO,FeatureCreature
197,n-pentylbenzene,10864,8.5,CCCCCC1=CC=CC=C1,FeatureCreature
198,1-heptene,11610,32,CCCCCC=C,FeatureCreature
199,2-octene,8126,43,CCCCCC=CC,FeatureCreature
200,propyl linoleate,53645533,42.5,CCCCCC=CCC=CCCCCCCCC(=O)OCCC,FeatureCreature
201,n-heptane,8900,53.575,CCCCCCC,FeatureCreature
202,methyl heptanoate,7826,34.2,CCCCCCC(=O)OC,FeatureCreature
203,"2,2-dimethyloctane",85150,59,CCCCCCC(C)(C)C,FeatureCreature
204,"7,8-dimethyltetradecane",530303,40,CCCCCCC(C)C(C)CCCCCC,FeatureCreature
205,2-phenyloctane,276115,33,CCCCCCC(C)C1=CC=CC=C1,FeatureCreature
206,"2,5-dimethylundecane",28452,58,CCCCCCC(C)CCC(C)C,FeatureCreature
207,3-ethyl-3-(beta-naphthyl)nonane,,13,CCCCCCC(CC)(CC)c1ccc2ccccc2c1,Saldana
208,"7,8-diethyltetradecane",530299,67,CCCCCCC(CC)C(CC)CCCCCC,FeatureCreature
209,4-propyldecane,529908,39,CCCCCCC(CCC)CCC,FeatureCreature
210,7-butyltridecane,530347,70,CCCCCCC(CCCC)CCCCCC,FeatureCreature
211,7-phenyltridecane,16980,41,CCCCCCC(CCCCCC)C1=CC=CC=C1,FeatureCreature
212,7-phenyltridecane,,41,CCCCCCC(CCCCCC)c1ccccc1,Saldana
213,(5E)-5-butyldodec-4-ene,,45,CCCCCCC/C(=C/CCC)/CCCC,Saldana
214,(8E)-8-propylpentadec-8-ene,,45,CCCCCCC/C(=C/CCCCCC)/CCC,Saldana
215,(4Z)-5-butyldodec-4-ene,,45,CCCCCCC/C(=C\CCC)/CCCC,Saldana
216,(8Z)-8-propylpentadec-8-ene,,45,CCCCCCC/C(=C\CCCCCC)/CCC,Saldana
217,(4Z)-4-butyldodec-4-ene,,45,CCCCCCC/C=C(/CCC)\CCCC,Saldana
218,(4E)-4-butyldodec-4-ene,,45,CCCCCCC/C=C(\CCC)/CCCC,Saldana
219,n-hexylbenzene,14109,26,CCCCCCC1=CC=CC=C1,FeatureCreature
220,3-cyclohexylhexane,20283,36,CCCCCCC1CCCCC1,FeatureCreature
221,1-octene,8125,49,CCCCCCC=C,FeatureCreature
222,n-octane,356,58.2,CCCCCCCC,FeatureCreature
223,methyl octanoate,8091,33.6,CCCCCCCC(=O)OC,FeatureCreature
224,butyl octanoate,11517,39.6,CCCCCCCC(=O)OCCCC,FeatureCreature
225,2-nonanol,12367,39.6,CCCCCCCC(C)O,FeatureCreature
226,2-methyl-4-isobutyl-4-phenylundecane,,18,CCCCCCCC(CC(C)C)(CC(C)C)c1ccccc1,Saldana
227,3-ethyldecane,529827,48,CCCCCCCC(CC)CC,FeatureCreature
228,8-propylpentadecane,530278,48,CCCCCCCC(CCC)CCCCCCC,FeatureCreature
229,5-butyldodecane,529854,45,CCCCCCCC(CCCC)CCCC,FeatureCreature
230,(9E)-9-methylheptadec-9-ene,,66,CCCCCCCC/C(=C/CCCCCCC)/C,Saldana
231,(9Z)-9-methylheptadec-9-ene,,66,CCCCCCCC/C(=C\CCCCCCC)/C,Saldana
232,(2Z)-phenylundec-2-ene,,23,CCCCCCCC/C=C(/C)\c1ccccc1,Saldana
233,(2E)-phenylundec-2-ene,,23,CCCCCCCC/C=C(\C)/c1ccccc1,Saldana
234,methyl elaidate,5280590,57.2,CCCCCCCC/C=C/CCCCCCCC(=O)OC,FeatureCreature
235,isobutyl oleate,6436359,60,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(C)C,FeatureCreature
236,oleic acid,445639,46,CCCCCCCC/C=C\CCCCCCCC(=O)O,FeatureCreature
237,methyl oleate,5364509,58.57,CCCCCCCC/C=C\CCCCCCCC(=O)OC,FeatureCreature
238,isopropyl oleate,5356108,87,CCCCCCCC/C=C\CCCCCCCC(=O)OC(C)C,FeatureCreature
239,sec-butyl (9Z)-octadec-9-enoate,,71.9,CCCCCCCC/C=C\CCCCCCCC(=O)OC(C)CC,Saldana
240,"2,3-bis[[(9Z)-octadec-9-enoyl]oxy]propyl (9Z)-octadec-9-enoate",,45,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,Saldana
241,ethyl oleate,5363269,72,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,FeatureCreature
242,isobutyl (9Z)-octadec-9-enoate,,59.6,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C)C,Saldana
243,2-ethylhexyl oleate,6438028,88,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
244,triolein,5497163,45,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,FeatureCreature
245,propyl oleate,5356106,72,CCCCCCCC/C=C\CCCCCCCC(=O)OCCC,FeatureCreature
246,2-ethylhexyl (9Z)-octadec-9-enoate,,88.2,CCCCCCCC/C=C\CCCCCCCC(=O)OCCC(CC)CCC,Saldana
247,butyl oleate,5354342,102,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,FeatureCreature
248,hexyl (9Z)-octadec-9-enoate,,102,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC,Saldana
249,octyl (Z)-octadec-9-enoate,,131,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCCCC,Saldana
250,methyl erucate,5364423,74.2,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,FeatureCreature
251,oleyl alcohol,5284499,51,CCCCCCCC/C=C\CCCCCCCCO,FeatureCreature
252,n-heptylbenzene,14115,34.67,CCCCCCCC1=CC=CC=C1,FeatureCreature
253,1-nonene,31285,51,CCCCCCCC=C,FeatureCreature
254,7-hexylpentadec-7-ene,,47,CCCCCCCC=C(CCCCCC)CCCCCC,Saldana
255,octanal,454,80.5,CCCCCCCC=O,FeatureCreature
256,n-nonane,8141,60.9,CCCCCCCCC,FeatureCreature
257,n-octyldecalin,141998,31,CCCCCCCCC#CCCCCCCCC,FeatureCreature
258,2-methyl-2-decalyldecane,,37,CCCCCCCCC(C)(C)C1CCCC2CCCCC12,Saldana
259,2-methyl-2-(beta-naphthyl)decane,,18,CCCCCCCCC(C)(C)c1ccc2ccccc2c1,Saldana
260,"9,10-dimethyloctadecane",530173,60,CCCCCCCCC(C)C(C)CCCCCCCC,FeatureCreature
261,9-methylheptadecane,,66,CCCCCCCCC(C)CCCCCCCC,Saldana
262,"9,10-dipropyloctadecane",530183,47,CCCCCCCCC(CCC)C(CCC)CCCCCCCC,FeatureCreature
263,4-phenyldodecane,17631,42,CCCCCCCCC(CCC)C1=CC=CC=C1,FeatureCreature
264,7-hexylpentadecane,91342400,83,CCCCCCCCC(CCCCCC)CCCCCC,FeatureCreature
265,9-heptylheptadecane,528546,88,CCCCCCCCC(CCCCCCC)CCCCCCCC,FeatureCreature
266,"methyl 4(Z),7(Z),10(Z),13(Z),16(Z),19(Z)-docosahexaenoate",6442386,24.4,CCCCCCCCC/C=C/C=C/C=C/C=C/C=C/C=C/C(=O)OC,FeatureCreature
267,2-octylnaphthalene,520388,18,CCCCCCCCC1=CC2=CC=CC=C2C=C1,FeatureCreature
268,n-octylbenzene,16607,37.5,CCCCCCCCC1=CC=CC=C1,FeatureCreature
269,octyldecalin,,31,CCCCCCCCC1CCCC2CCCCC12,Saldana
270,octyltetralin,,18,CCCCCCCCC1CCCc2ccccc12,Saldana
271,"1,4-dioctyltetralin",,26,CCCCCCCCC1CCc2ccccc2C1CCCCCCCC,Saldana
272,1-decene,13381,49.1,CCCCCCCCC=C,FeatureCreature
273,hexyl oleate,88466,102,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC,FeatureCreature
274,octyl oleate,94441,131,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCC,FeatureCreature
275,n-decane,15600,66.35,CCCCCCCCCC,FeatureCreature
276,decanoic acid,2969,48,CCCCCCCCCC(=O)O,FeatureCreature
277,methyl decanoate,8050,52.275,CCCCCCCCCC(=O)OC,FeatureCreature
278,isopropyl decanoate,16833,46.6,CCCCCCCCCC(=O)OC(C)C,FeatureCreature
279,ethyl decanoate,8048,51.2,CCCCCCCCCC(=O)OCC,FeatureCreature
280,propyl decanoate,121739,52.9,CCCCCCCCCC(=O)OCCC,FeatureCreature
281,butyl decanoate,35408,54.6,CCCCCCCCCC(=O)OCCCC,FeatureCreature
282,hexyl caprate,82635,64,CCCCCCCCCC(=O)OCCCCCC,FeatureCreature
283,2-phenylundecane,20656,51,CCCCCCCCCC(C)C1=CC=CC=C1,FeatureCreature
284,5-butyl-5-phenyltetradecane,,58,CCCCCCCCCC(CCCC)(CCCC)c1ccccc1,Saldana
285,n-nonylbenzene,14126,50,CCCCCCCCCC1=CC=CC=C1,FeatureCreature
286,1-undecene,13190,65.5,CCCCCCCCCC=C,FeatureCreature
287,n-undecane,14257,79,CCCCCCCCCCC,FeatureCreature
288,methyl petroselinate,5362717,58.6,CCCCCCCCCCC/C=C\CCCCC(=O)OC,FeatureCreature
289,1-dodecene,8183,56.8,CCCCCCCCCCC=C,FeatureCreature
290,n-dodecane,8182,73.45,CCCCCCCCCCCC,FeatureCreature
291,methyl laurate,8139,66.5,CCCCCCCCCCCC(=O)OC,FeatureCreature
292,"2,3-di(dodecanoyloxy)propyl dodecanoate",,100,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCC,Saldana
293,ethyl laurate,7800,73,CCCCCCCCCCCC(=O)OCC,FeatureCreature
294,trilaurin,10851,100,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,FeatureCreature
295,propyl laurate,77255,71,CCCCCCCCCCCC(=O)OCCC,FeatureCreature
296,butyl laurate,61015,73,CCCCCCCCCCCC(=O)OCCCC,FeatureCreature
297,hexyl laurate,94454,74,CCCCCCCCCCCC(=O)OCCCCCC,FeatureCreature
298,octyl laurate,79185,84,CCCCCCCCCCCC(=O)OCCCCCCCC,FeatureCreature
299,decyl laurate,119003,84,CCCCCCCCCCCC(=O)OCCCCCCCCCC,FeatureCreature
300,n-tridecane,12388,89.5,CCCCCCCCCCCCC,FeatureCreature
301,2-phenyltetradecane,20642,49,CCCCCCCCCCCCC(C)C1=CC=CC=C1,FeatureCreature
302,n-dodecylbenzene,31237,68,CCCCCCCCCCCCC1=CC=CC=C1,FeatureCreature
303,1-methyl-3-dodecylcyclohexane,,70,CCCCCCCCCCCCC1CCCC(C)C1,Saldana
304,1-tetradecene,14260,80.9,CCCCCCCCCCCCC=C,FeatureCreature
305,n-tetradecane,12389,85.1,CCCCCCCCCCCCCC,FeatureCreature
306,methyl myristate,31284,69.85,CCCCCCCCCCCCCC(=O)OC,FeatureCreature
307,"2,3-di(tetradecanoyloxy)propyl tetradecanoate",,100,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,Saldana
308,ethyl myristate,31283,66.9,CCCCCCCCCCCCCC(=O)OCC,FeatureCreature
309,trimyristin,11148,100,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,FeatureCreature
310,propyl myristate,84338,71,CCCCCCCCCCCCCC(=O)OCCC,FeatureCreature
311,butyl myristate,8047,69.4,CCCCCCCCCCCCCC(=O)OCCCC,FeatureCreature
312,hexyl myristate,170623,72,CCCCCCCCCCCCCC(=O)OCCCCCC,FeatureCreature
313,octyl myristate,85351,71,CCCCCCCCCCCCCC(=O)OCCCCCCCC,FeatureCreature
314,decyl myristate,170588,72,CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,FeatureCreature
315,dodecyl myristate,74881,74,CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,FeatureCreature
316,2-methyl-2-phenylpentadecane,520412,39,CCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1,FeatureCreature
317,2-methyl-2-cyclohexylpentadecane,,45,CCCCCCCCCCCCCC(C)(C)C1CCCCC1,Saldana
318,2-methyl-2-phenylpentadecane,,39,CCCCCCCCCCCCCC(C)(C)c1ccccc1,Saldana
319,n-pentadecane,12391,96.5,CCCCCCCCCCCCCCC,FeatureCreature
320,n-tetradecylbenzene,15086,72,CCCCCCCCCCCCCCC1=CC=CC=C1,FeatureCreature
321,2-cyclohexyl- tetradecane,15715,57,CCCCCCCCCCCCCCC1CCCCC1,FeatureCreature
322,1-hexadecene,12395,75.9,CCCCCCCCCCCCCCC=C,FeatureCreature
323,n-hexadecane,11006,100.5,CCCCCCCCCCCCCCCC,FeatureCreature
324,methyl palmitate,8181,85.9,CCCCCCCCCCCCCCCC(=O)OC,FeatureCreature
325,isopropyl palmitate,8907,83,CCCCCCCCCCCCCCCC(=O)OC(C)C,FeatureCreature
326,sec-butyl hexadecanoate,,84.8,CCCCCCCCCCCCCCCC(=O)OC(C)CC,Saldana
327,"2,3-di(hexadecanoyloxy)propyl hexadecanoate",,89,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,Saldana
328,ethyl palmitate,12366,93,CCCCCCCCCCCCCCCC(=O)OCC,FeatureCreature
329,isobutyl palmitate,66967,84,CCCCCCCCCCCCCCCC(=O)OCC(C)C,FeatureCreature
330,2-ethylhexyl palmitate,62851,107,CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
331,tripalmitin,11147,89,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FeatureCreature
332,propyl palmitate,75232,83,CCCCCCCCCCCCCCCC(=O)OCCC,FeatureCreature
333,2-ethylhexyl hexadecanoate,,98.2,CCCCCCCCCCCCCCCC(=O)OCCC(CC)CCC,Saldana
334,butyl palmitate,8090,87,CCCCCCCCCCCCCCCC(=O)OCCCC,FeatureCreature
335,hexyl palmitate,162505,87,CCCCCCCCCCCCCCCC(=O)OCCCCCC,FeatureCreature
336,octyl hexadecanoate,,107,CCCCCCCCCCCCCCCC(=O)OCCCCCCCC,Saldana
337,decyl palmitate,98603,91,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,FeatureCreature
338,2-methyl-2-phenylheptadecane,,39,CCCCCCCCCCCCCCCC(C)(C)c1ccccc1,Saldana
339,2-methylheptadecane,15265,91,CCCCCCCCCCCCCCCC(C)C,FeatureCreature
340,5-phenyleicosane,16983,39,CCCCCCCCCCCCCCCC(CCCC)C1=CC=CC=C1,FeatureCreature
341,5-cyclohexyleicosane,311971,66,CCCCCCCCCCCCCCCC(CCCC)C1CCCCC1,FeatureCreature
342,n-heptadecane,12398,105,CCCCCCCCCCCCCCCCC,FeatureCreature
343,2-methyloctadecane,15264,104.4,CCCCCCCCCCCCCCCCC(C)C,FeatureCreature
344,methyl gondoate,6438470,73.2,CCCCCCCCCCCCCCCCC/C=C\C(=O)OC,FeatureCreature
345,"1,2,4-trimethyl-5-hexadecylcyclohexane",,42,CCCCCCCCCCCCCCCCC1CC(C)C(C)CC1C,Saldana
346,1-octadecene,8217,90,CCCCCCCCCCCCCCCCC=C,FeatureCreature
347,n-octadecane,11635,106.3,CCCCCCCCCCCCCCCCCC,FeatureCreature
348,stearic acid,5281,62,CCCCCCCCCCCCCCCCCC(=O)O,FeatureCreature
349,methyl stearate,8201,95.6,CCCCCCCCCCCCCCCCCC(=O)OC,FeatureCreature
350,isopropyl stearate,8162,97,CCCCCCCCCCCCCCCCCC(=O)OC(C)C,FeatureCreature
351,sec-butyl octadecanoate,,97.5,CCCCCCCCCCCCCCCCCC(=O)OC(C)CC,Saldana
352,"2,3-di(octadecanoyloxy)propyl octadecanoate",,85,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,Saldana
353,ethyl stearate,8122,76.8,CCCCCCCCCCCCCCCCCC(=O)OCC,FeatureCreature
354,isobutyl stearate,12588,99,CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,FeatureCreature
355,2-ethylhexyl stearate,13132266,116,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
356,tristearin,11146,85,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,FeatureCreature
357,propyl stearate,77190,91,CCCCCCCCCCCCCCCCCC(=O)OCCC,FeatureCreature
358,2-ethylhexyl octadecanoate,,115.5,CCCCCCCCCCCCCCCCCC(=O)OCCC(CC)CCC,Saldana
359,butyl stearate,31278,86.5,CCCCCCCCCCCCCCCCCC(=O)OCCCC,FeatureCreature
360,n-nonadecane,12401,110,CCCCCCCCCCCCCCCCCCC,FeatureCreature
361,n-eicosane,8222,110,CCCCCCCCCCCCCCCCCCCC,FeatureCreature
